Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Solid
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt
2216.369   16.1648
2218.298   16.2392
2220.227   16.3237
2222.156   16.4023
2224.085   16.4658
2226.014   16.5429
2227.943   16.6362
2229.872   16.7165
2231.801   16.7793
2233.730   16.8564
2235.659   16.9379
2237.588   17.0131
2239.517   17.0703
2241.446   17.1184
2243.375   17.1584
2245.304   17.1919
2247.233   17.2221
2249.162   17.2475
2251.091   17.2666
2253.020   17.2895
2254.949   17.3032
2256.878   17.3283
2258.807   17.3547
2260.735   17.3820
2262.664   17.4108
2264.593   17.4394
2266.522   17.4751
2268.451   17.5039
2270.380   17.5410
2272.309   17.5908
2274.238   17.6276
2276.167   17.6679
2278.096   17.7114
2280.025   17.7475
2281.954   17.7954
2283.883   17.8466
2285.812   17.8891
2287.741   17.9365
2289.670   17.9877
2291.599   18.0300
2293.528   18.0703
2295.457   18.1137
2297.386   18.1626
2299.315   18.2116
2301.244   18.2651
2303.173   18.3378
2305.102   18.4042
2307.030   18.4682
2308.959   18.5410
2310.888   18.6240
2312.817   18.7067
2314.746   18.7985
2316.675   18.8857
2318.604   18.9584
2320.533   19.0405
2322.462   19.1396
2324.391   19.2229
2326.320   19.3051
2328.249   19.3925
2330.178   19.4638
2332.107   19.5380
2334.036   19.6113
2335.965   19.6906
2337.894   19.7587
2339.823   19.8137
2341.752   19.8801
2343.681   19.9455
2345.610   20.0029
2347.539   20.0551
2349.468   20.1093
2351.397   20.1625
2353.325   20.2121
2355.254   20.2582
2357.183   20.3051
2359.112   20.3564
2361.041   20.4113
2362.970   20.4689
2364.899   20.5170
2366.828   20.5700
2368.757   20.6328
2370.686   20.6877
2372.615   20.7338
2374.544   20.7822
2376.473   20.8300
2378.402   20.8754
2380.331   20.9086
2382.260   20.9484
2384.188   20.9807
2386.117   20.9995
2388.046   21.0136
2389.975   21.0361
2391.904   21.0581
2393.833   21.0808
2395.762   21.1010
2397.691   21.1203
2399.620   21.1479
2401.549   21.1594
2403.478   21.1625
2405.407   21.1809
2407.336   21.1994
2409.265   21.2062
2411.194   21.2167
2413.123   21.2182
2415.052   21.2158
2416.981   21.2216
2418.910   21.2373
2420.839   21.2407
2422.768   21.2446
2424.697   21.2487
2426.626   21.2539
2428.555   21.2612
2430.483   21.2741
2432.412   21.2797
2434.341   21.2785
2436.270   21.2846
2438.199   21.2939
2440.128   21.3061
2442.057   21.3120
2443.986   21.2973
2445.915   21.2998
2447.844   21.3037
2449.773   21.3015
2451.702   21.3178
2453.631   21.3234
2455.560   21.3207
2457.489   21.3244
2459.418   21.3222
2461.347   21.3205
2463.276   21.3178
2465.205   21.3173
2467.134   21.3041
2469.063   21.3054
2470.992   21.3193
2472.921   21.3198
2474.850   21.3095
2476.778   21.3085
2478.707   21.3105
2480.636   21.3041
2482.565   21.3022
2484.494   21.3027
2486.423   21.2934
2488.352   21.2812
2490.281   21.2817
2492.210   21.2831
2494.139   21.2788
2496.068   21.2790
2497.997   21.2788
2499.926   21.2768
2501.855   21.2695
2503.784   21.2614
2505.713   21.2626
2507.642   21.2582
2509.571   21.2451
2511.500   21.2307
2513.429   21.2336
2515.358   21.2382
2517.287   21.2275
2519.216   21.2206
2521.145   21.2236
2523.073   21.2248
2525.002   21.2211
2526.931   21.2226
2528.860   21.2277
2530.789   21.2329
2532.718   21.2216
2534.647   21.2163
2536.576   21.2123
2538.505   21.2143
2540.434   21.2241
2542.363   21.2270
2544.292   21.2260
2546.221   21.2304
2548.150   21.2407
2550.079   21.2358
2552.008   21.2221
2553.937   21.2241
2555.866   21.2392
2557.795   21.2333
2559.724   21.2355
2561.653   21.2392
2563.582   21.2382
2565.511   21.2326
2567.440   21.2343
2569.368   21.2397
2571.297   21.2321
2573.226   21.2226
2575.155   21.2187
2577.084   21.2109
2579.013   21.2072
2580.942   21.2021
2582.871   21.1967
2584.800   21.1894
2586.729   21.1887
2588.658   21.1918
2590.587   21.1884
2592.516   21.1865
2594.445   21.1874
2596.374   21.1850
2598.303   21.1850
2600.231   21.1850
2602.160   21.1791
2604.089   21.1760
2606.018   21.1794
2607.947   21.1728
2609.876   21.1572
2611.805   21.1464
2613.734   21.1445
2615.663   21.1442
2617.592   21.1518
2619.521   21.1494
2621.450   21.1513
2623.379   21.1464
2625.308   21.1479
2627.237   21.1513
2629.166   21.1474
2631.095   21.1408
2633.024   21.1357
2634.953   21.1340
2636.882   21.1386
2638.811   21.1354
2640.740   21.1245
2642.669   21.1235
2644.598   21.1308
2646.526   21.1254
2648.455   21.1206
2650.384   21.1293
2652.313   21.1337
2654.242   21.1298
2656.171   21.1215
2658.100   21.1210
2660.029   21.1105
2661.958   21.1035
2663.887   21.1171
2665.816   21.1220
2667.745   21.1225
2669.674   21.1310
2671.603   21.1298
2673.532   21.1176
2675.461   21.1049
2677.390   21.1074
2679.319   21.1005
2681.248   21.0869
2683.177   21.0971
2685.106   21.0917
2687.035   21.0629
2688.964   21.0642
2690.893   21.0683
2692.821   21.0610
2694.750   21.0488
2696.679   21.0551
2698.608   21.0615
2700.537   21.0512
2702.466   21.0483
2704.395   21.0463
2706.324   21.0361
2708.253   21.0214
2710.182   21.0117
2712.111   21.0002
2714.040   21.0024
2715.969   21.0034
2717.898   20.9931
2719.827   20.9916
